id,url,address,price,area,time1 (transit),time1 (drive), dist1,time2 (transit),time2 (drive), dist2
189172858,https://www.finn.no/realestate/homes/ad.html?finnkode=189172858,Setersbergveien 10  3340 Åmot,3.59,127.00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,0.00
194342445,https://www.finn.no/realestate/homes/ad.html?finnkode=194342445,Solvangveien 9B  1488 Hakadal,3.59,164.00,00:00:00,00:00:00,0.00,00:00:00,00:00:00,0.00
194403714,https://www.finn.no/realestate/homes/ad.html?finnkode=194403714,Bekkemoen 8  3050 Mjøndalen,2.69,99.00,01:29:18,00:51:51,64.90,01:16:12,00:51:05,57.87
194368510,https://www.finn.no/realestate/homes/ad.html?finnkode=194368510,Balders vei 71  3518 Hønefoss,2.81,112.00,01:57:00,01:01:49,68.77,01:44:49,01:01:02,61.73
191800419,https://www.finn.no/realestate/homes/ad.html?finnkode=191800419,Homlenvegen 24  2072 Dal,1.74,133.00,01:28:30,00:36:45,52.23,01:10:00,00:44:31,57.20
193858911,https://www.finn.no/realestate/homes/ad.html?finnkode=193858911,Amundrudvegen 17  2074 Eidsvoll Verk,3.18,122.00,01:08:35,00:42:08,55.52,00:50:05,00:49:54,60.50
194338394,https://www.finn.no/realestate/homes/ad.html?finnkode=194338394,Festningsåsen 6A  1860 Trøgstad,2.67,113.00,01:26:08,00:59:28,62.77,01:41:48,00:59:41,69.35
194293645,https://www.finn.no/realestate/homes/ad.html?finnkode=194293645,Falkevegen 24  2070 Råholt,3.27,156.00,01:40:18,00:41:17,54.98,01:21:48,00:49:02,59.96
194325164,https://www.finn.no/realestate/homes/ad.html?finnkode=194325164,Jupiterveien 19  3055 Krokstadelva,2.97,118.00,01:37:09,00:52:43,64.87,01:26:13,00:51:56,57.83
194304460,https://www.finn.no/realestate/homes/ad.html?finnkode=194304460,Geminivegen 1A  2165 Hvam,3.04,104.00,01:28:22,00:32:21,43.74,01:12:52,00:40:06,48.72
194326315,https://www.finn.no/realestate/homes/ad.html?finnkode=194326315,Svingen 21  1860 Trøgstad,2.67,152.00,01:27:00,00:59:49,62.48,01:42:40,01:02:01,70.32
194324227,https://www.finn.no/realestate/homes/ad.html?finnkode=194324227,Geithusveien 12C  3360 Geithus,2.35,147.00,02:07:01,01:14:53,89.38,01:56:05,01:14:07,82.34
